n_components,n_features,lmbda,gamma,k,num_regions,trial,C_T,cr_q
1,4,5,0.00025,15,20,11,1.7649038836098754,0.907
1,4,5,0.00025,15,20,12,1.96037579230089,0.913
1,4,5,0.00025,15,20,13,1.9380379362946656,0.9035
1,4,5,0.00025,15,20,14,1.741696374743343,0.9345
1,4,5,0.00025,15,20,15,1.9493505971687004,0.9155
1,4,5,0.00025,15,20,16,1.8971932060309011,0.92
1,4,5,0.00025,15,20,17,1.9471370979789462,0.928
1,4,5,0.00025,15,20,18,1.850475560431097,0.9225
1,4,5,0.00025,15,20,19,2.278442238166392,0.894
1,4,5,0.00025,15,20,20,1.6695239740802814,0.937
1,4,5,0.00025,15,20,21,1.6471175719655151,0.929
1,4,5,0.00025,15,20,22,1.964894138857702,0.94
1,4,5,0.00025,15,20,23,1.773976756128483,0.9245
1,4,5,0.00025,15,20,24,1.4134980989774775,0.921
1,4,5,0.00025,15,20,25,2.1601112227557167,0.915
1,4,5,0.00025,15,20,26,1.9967519707075572,0.9235
1,4,5,0.00025,15,20,27,1.8041793197189213,0.9235
1,4,5,0.00025,15,20,28,1.8892548937485887,0.948
1,4,5,0.00025,15,20,29,1.9002473640781667,0.9345
1,4,5,0.00025,15,20,30,2.1494728378888586,0.8945
1,4,5,0.00025,15,20,31,2.6379234684430286,0.914
1,4,5,0.00025,15,20,32,1.8074576286152615,0.9225
1,4,5,0.00025,15,20,33,1.7530239837782355,0.923
1,4,5,0.00025,15,20,34,1.3239235385747,0.9245
1,4,5,0.00025,15,20,35,2.215960744076196,0.913
1,4,5,0.00025,15,20,36,2.1752620696443254,0.932
1,4,5,0.00025,15,20,37,1.6480272523368649,0.92
1,4,5,0.00025,15,20,38,1.5229674765275423,0.914
1,4,5,0.00025,15,20,39,2.375705919406729,0.9345
1,4,5,0.00025,15,20,40,2.02656279453909,0.932
1,4,5,0.00025,15,20,41,2.2357992192561187,0.9255
1,4,5,0.00025,15,20,42,1.6195486387816025,0.9265
1,4,5,0.00025,15,20,43,1.987388350760697,0.9075
1,4,5,0.00025,15,20,44,1.9732847269907945,0.9265
1,4,5,0.00025,15,20,45,1.2851498682790865,0.9155
1,4,5,0.00025,15,20,46,2.1008118786392513,0.9395
1,4,5,0.00025,15,20,47,1.5466994016956106,0.9205
1,4,5,0.00025,15,20,48,1.9910781282816201,0.937
1,4,5,0.00025,15,20,49,2.6070204832125303,0.9135
1,4,5,0.00025,15,20,50,2.192697281312997,0.931
1,4,5,0.00025,15,20,51,2.0803406927833823,0.9235
1,4,5,0.00025,15,20,52,2.4901164675768412,0.9305
1,4,5,0.00025,15,20,53,1.689631944295427,0.934
1,4,5,0.00025,15,20,54,2.0730058126784647,0.9375
1,4,5,0.00025,15,20,55,1.7339807930030526,0.9315
1,4,5,0.00025,15,20,56,1.5917500523588333,0.9325
1,4,5,0.00025,15,20,57,2.139682265724475,0.931
1,4,5,0.00025,15,20,58,1.9042423057283138,0.946
1,4,5,0.00025,15,20,59,1.6336693731214402,0.9375
1,4,5,0.00025,15,20,60,2.206228210692706,0.9185
1,4,5,0.00025,15,20,61,1.6321948594396987,0.927
1,4,5,0.00025,15,20,62,1.324043233463596,0.9205
1,4,5,0.00025,15,20,63,1.8024921522552348,0.943
1,4,5,0.00025,15,20,64,2.265133578748996,0.9255
1,4,5,0.00025,15,20,65,1.5238816009020095,0.9275
1,4,5,0.00025,15,20,66,1.6228444370009498,0.933
1,4,5,0.00025,15,20,67,1.5721989751189456,0.9205
1,4,5,0.00025,15,20,68,1.9346928178501226,0.921
1,4,5,0.00025,15,20,69,1.5520672038946164,0.9045
1,4,5,0.00025,15,20,70,1.7993780730414413,0.932
1,4,5,0.00025,15,20,71,2.1883375374204403,0.926
1,4,5,0.00025,15,20,72,1.6012395854147683,0.9225
1,4,5,0.00025,15,20,73,2.0410982755071987,0.9345
1,4,5,0.00025,15,20,74,1.9028842250586548,0.9365
1,4,5,0.00025,15,20,75,1.9727919951477664,0.9315
1,4,5,0.00025,15,20,76,1.7520144204085784,0.9135
1,4,5,0.00025,15,20,77,1.6990139700393607,0.918
1,4,5,0.00025,15,20,78,1.7248999684609936,0.924
1,4,5,0.00025,15,20,79,1.8590791684915473,0.921
1,4,5,0.00025,15,20,80,1.3914158175026805,0.9255
1,4,5,0.00025,15,20,81,1.748004979092723,0.9175
1,4,5,0.00025,15,20,82,1.667445721348787,0.9275
1,4,5,0.00025,15,20,83,1.7665254043179117,0.934
1,4,5,0.00025,15,20,84,1.7468827051349827,0.9325
1,4,5,0.00025,15,20,85,1.8368887569313301,0.9315
1,4,5,0.00025,15,20,86,1.6919281137757995,0.941
1,4,5,0.00025,15,20,87,1.309375669848508,0.9225
1,4,5,0.00025,15,20,88,1.7417499486322756,0.9335
1,4,5,0.00025,15,20,89,2.0646716697168794,0.94
1,4,5,0.00025,15,20,90,1.7076008217299479,0.9105
1,4,5,0.00025,15,20,91,2.3574076842456795,0.9405
1,4,5,0.00025,15,20,92,2.0099492969501966,0.93
1,4,5,0.00025,15,20,93,1.9203531340066395,0.927
1,4,5,0.00025,15,20,94,1.96765775671401,0.9375
1,4,5,0.00025,15,20,95,1.8257626343652604,0.912
1,4,5,0.00025,15,20,96,1.64118186989517,0.934
1,4,5,0.00025,15,20,97,1.6006656713223597,0.918
1,4,5,0.00025,15,20,98,1.6108277522377208,0.9005
1,4,5,0.00025,15,20,99,1.850916907483644,0.9265
1,4,7,0.00025,1,5,0,3.7623477071021902,0.1045
1,4,7,0.00025,1,5,1,2.9637993750881346,0.0575
1,4,7,0.00025,1,5,2,3.4189665848342035,0.095
1,4,7,0.00025,1,5,3,2.7009889625942582,0.2495
1,4,7,0.00025,1,5,4,4.340703400591848,0.149
1,4,7,0.00025,1,5,5,3.673804235583292,0.119
1,4,7,0.00025,1,5,6,4.723326546642053,0.067
1,4,7,0.00025,1,5,7,5.163063505511487,0.061
1,4,7,0.00025,1,5,8,4.215468479116302,0.2325
1,4,7,0.00025,1,5,9,3.836080432432331,0.2065
1,4,7,0.00025,1,5,10,3.870702731233831,0.2095
1,4,7,0.00025,1,5,11,3.896311877523083,0.1695
1,4,7,0.00025,1,5,12,5.206015088828372,0.254
1,4,7,0.00025,1,5,13,4.070871400971899,0.1385
1,4,7,0.00025,1,5,14,4.218619290236826,0.0725
1,4,7,0.00025,1,5,15,3.831239977859615,0.084
1,4,7,0.00025,1,5,16,4.752549429939813,0.108
1,4,7,0.00025,1,5,17,4.507727349005081,0.1555
1,4,7,0.00025,1,5,18,3.07055733507403,0.122
1,4,7,0.00025,1,5,19,4.025115879997571,0.1375
1,4,7,0.00025,1,5,20,3.1228623477820134,0.185
1,4,7,0.00025,1,5,21,4.263170788094108,0.15
1,4,7,0.00025,1,5,22,4.6163064279627815,0.084
1,4,7,0.00025,1,5,23,4.4847059980126645,0.059
1,4,7,0.00025,1,5,24,4.1271409287516265,0.098
1,4,7,0.00025,1,5,25,4.426035893051811,0.1745
1,4,7,0.00025,1,5,26,4.335347400477475,0.092
1,4,7,0.00025,1,5,27,3.6042520203298283,0.073
1,4,7,0.00025,1,5,28,4.108212204945907,0.1065
1,4,7,0.00025,1,5,29,4.805215500752685,0.08
1,4,7,0.00025,1,5,30,4.073248930641878,0.0645
1,4,7,0.00025,1,5,31,4.331035471388514,0.0785
1,4,7,0.00025,1,5,32,4.852336489968741,0.093
1,4,7,0.00025,1,5,33,3.8204230893048146,0.1275
1,4,7,0.00025,1,5,34,3.2001888454582366,0.0985
1,4,7,0.00025,1,5,35,3.9650105593288525,0.203
1,4,7,0.00025,1,5,36,3.464807495772992,0.0825
1,4,7,0.00025,1,5,37,3.7408890705944065,0.0885
1,4,7,0.00025,1,5,38,3.5294659069141923,0.067
1,4,7,0.00025,1,5,39,4.650688075236805,0.0745
1,4,7,0.00025,1,5,40,3.2715492679511553,0.0715
1,4,7,0.00025,1,5,41,4.351408364102635,0.062
1,4,7,0.00025,1,5,42,3.2115147519170053,0.068
1,4,7,0.00025,1,5,43,3.2071680407056236,0.189
1,4,7,0.00025,1,5,44,3.528553563466886,0.06
1,4,7,0.00025,1,5,45,3.857471358470936,0.1045
1,4,7,0.00025,1,5,46,4.187759022235144,0.055
1,4,7,0.00025,1,5,47,3.731788414497592,0.095
1,4,7,0.00025,1,5,48,4.45326523462339,0.231
1,4,7,0.00025,1,5,49,3.940114552348851,0.202
1,4,7,0.00025,1,5,50,4.075043567992466,0.202
1,4,7,0.00025,1,5,51,3.256537798262187,0.103
1,4,7,0.00025,1,5,52,3.5180799316954374,0.0945
1,4,7,0.00025,1,5,53,3.4048377640618837,0.101
1,4,7,0.00025,1,5,54,5.218272650607239,0.1405
1,4,7,0.00025,1,5,55,4.001211924787333,0.1635
1,4,7,0.00025,1,5,56,4.175369822799902,0.148
1,4,7,0.00025,1,5,57,4.30612375723316,0.0685
1,4,7,0.00025,1,5,58,3.774366523314075,0.213
1,4,7,0.00025,1,5,59,4.098218870565488,0.104
1,4,7,0.00025,1,5,60,3.7653994737447958,0.0715
1,4,7,0.00025,1,5,61,3.73751920668014,0.1675
1,4,7,0.00025,1,5,62,3.714498781123417,0.0715
1,4,7,0.00025,1,5,63,4.581461203498961,0.06
1,4,7,0.00025,1,5,64,4.926665631049155,0.0665
1,4,7,0.00025,1,5,65,4.377979078804314,0.069
1,4,7,0.00025,1,5,66,3.291781457029561,0.0745
1,4,7,0.00025,1,5,67,3.0612127434163936,0.2225
1,4,7,0.00025,1,5,68,3.5314965422325297,0.084
1,4,7,0.00025,1,5,69,3.6259020579411954,0.0865
1,4,7,0.00025,1,5,70,3.7436073856634637,0.0915
1,4,7,0.00025,1,5,71,3.962014611756226,0.064
1,4,7,0.00025,1,5,72,3.8993186145303818,0.1625
1,4,7,0.00025,1,5,73,3.760482745214775,0.1155
1,4,7,0.00025,1,5,74,3.410780984366504,0.056
1,4,7,0.00025,1,5,75,5.047379548151006,0.0625
1,4,7,0.00025,1,5,76,3.644362988046565,0.0945
1,4,7,0.00025,1,5,77,4.4026496492944,0.064
1,4,7,0.00025,1,5,78,4.088397185096275,0.091
1,4,7,0.00025,1,5,79,4.408287064517793,0.1385
1,4,7,0.00025,1,5,80,3.9765446694197824,0.1675
1,4,7,0.00025,1,5,81,2.6918789706381174,0.097
1,4,7,0.00025,1,5,82,3.680656992459681,0.1385
1,4,7,0.00025,1,5,83,4.180859770274997,0.213
1,4,7,0.00025,1,5,84,3.945587629790921,0.062
1,4,7,0.00025,1,5,85,3.733032376483333,0.231
1,4,7,0.00025,1,5,86,4.634698852128095,0.0575
1,4,7,0.00025,1,5,87,4.353505860202063,0.1365
1,4,7,0.00025,1,5,88,4.651336005312685,0.091
1,4,7,0.00025,1,5,89,4.0477753400596646,0.073
1,4,7,0.00025,1,5,90,4.4979457208104945,0.1535
1,4,7,0.00025,1,5,91,3.757553828907234,0.059
1,4,7,0.00025,1,5,92,3.808386599530715,0.142
1,4,7,0.00025,1,5,93,4.49200075843022,0.1215
1,4,7,0.00025,1,5,94,4.157454027207069,0.0685
1,4,7,0.00025,1,5,95,4.396708080526714,0.1595
1,4,7,0.00025,1,5,96,3.729279744156301,0.1175
1,4,7,0.00025,1,5,97,4.633218798977126,0.1765
1,4,7,0.00025,1,5,98,4.3512680297570485,0.1105
1,4,7,0.00025,1,5,99,3.390272986544538,0.0905
1,4,7,0.00025,1,10,0,2.867395172352281,0.1045
1,4,7,0.00025,1,10,1,3.504417646207301,0.0575
1,4,7,0.00025,1,10,2,3.2937103362764075,0.095
1,4,7,0.00025,1,10,3,2.627733820986591,0.2495
1,4,7,0.00025,1,10,4,2.6458007059234854,0.149
1,4,7,0.00025,1,10,5,3.544588279697007,0.119
1,4,7,0.00025,1,10,6,2.51961764064756,0.067
1,4,7,0.00025,1,10,7,3.059132699824089,0.061
1,4,7,0.00025,1,10,8,3.173825630732334,0.2325
1,4,7,0.00025,1,10,9,3.7747997048926742,0.2065
1,4,7,0.00025,1,10,10,3.094105344334598,0.2095
1,4,7,0.00025,1,10,11,2.9759724466684463,0.1695
1,4,7,0.00025,1,10,12,3.5286127128837848,0.254
1,4,7,0.00025,1,10,13,3.645360142561906,0.1385
1,4,7,0.00025,1,10,14,2.8665738350110135,0.0725
1,4,7,0.00025,1,10,15,3.1899968102748666,0.084
1,4,7,0.00025,1,10,16,2.782238664200516,0.108
1,4,7,0.00025,1,10,17,3.3729511289001954,0.1555
1,4,7,0.00025,1,10,18,2.644108898861815,0.122
1,4,7,0.00025,1,10,19,3.411272243536448,0.1375
1,4,7,0.00025,1,10,20,2.3925956338671,0.185
1,4,7,0.00025,1,10,21,2.783471288317856,0.15
1,4,7,0.00025,1,10,22,3.4883380433107005,0.084
1,4,7,0.00025,1,10,23,2.500903055974784,0.059
1,4,7,0.00025,1,10,24,3.1609022556690225,0.098
1,4,7,0.00025,1,10,25,3.199039719485994,0.1745
1,4,7,0.00025,1,10,26,2.738629161629104,0.092
1,4,7,0.00025,1,10,27,3.02789889568629,0.073
1,4,7,0.00025,1,10,28,2.9571604941213456,0.1065
1,4,7,0.00025,1,10,29,3.0252738092623472,0.08
1,4,7,0.00025,1,10,30,2.658429434504404,0.0645
1,4,7,0.00025,1,10,31,3.5364360192366378,0.0785
1,4,7,0.00025,1,10,32,3.3423942363025834,0.093
1,4,7,0.00025,1,10,33,2.4958616586575952,0.1275
1,4,7,0.00025,1,10,34,3.3164955283632684,0.0985
1,4,7,0.00025,1,10,35,2.017466795595856,0.203
1,4,7,0.00025,1,10,36,2.9227441305263184,0.0825
1,4,7,0.00025,1,10,37,2.943865214949757,0.0885
1,4,7,0.00025,1,10,38,3.605251366449835,0.067
1,4,7,0.00025,1,10,39,2.5588725635521428,0.0745
1,4,7,0.00025,1,10,40,3.415537585427367,0.0715
1,4,7,0.00025,1,10,41,2.0831534322126544,0.062
1,4,7,0.00025,1,10,42,2.6182170228598105,0.068
1,4,7,0.00025,1,10,43,3.58751715428567,0.189
1,4,7,0.00025,1,10,44,3.1865543201345345,0.06
1,4,7,0.00025,1,10,45,2.659584331277665,0.1045
1,4,7,0.00025,1,10,46,2.810150781292279,0.055
1,4,7,0.00025,1,10,47,3.476094290228651,0.095
1,4,7,0.00025,1,10,48,2.609530985658949,0.231
1,4,7,0.00025,1,10,49,3.2554175082934886,0.202
1,4,7,0.00025,1,10,50,2.4057022021680665,0.202
1,4,7,0.00025,1,10,51,2.654527975510199,0.103
1,4,7,0.00025,1,10,52,3.3262664558204484,0.0945
1,4,7,0.00025,1,10,53,2.8426357762720555,0.101
1,4,7,0.00025,1,10,54,2.850940811619274,0.1405
1,4,7,0.00025,1,10,55,3.053137048144393,0.1635
1,4,7,0.00025,1,10,56,3.06217362216562,0.148
1,4,7,0.00025,1,10,57,3.244000312477084,0.0685
1,4,7,0.00025,1,10,58,3.075845835667603,0.213
1,4,7,0.00025,1,10,59,2.3262239403604403,0.104
1,4,7,0.00025,1,10,60,2.824231164467744,0.0715
1,4,7,0.00025,1,10,61,2.5307961140026825,0.1675
1,4,7,0.00025,1,10,62,3.5278746917135386,0.0715
1,4,7,0.00025,1,10,63,3.5176321233349137,0.06
1,4,7,0.00025,1,10,64,2.6424431528239447,0.0665
1,4,7,0.00025,1,10,65,2.733392963700489,0.069
1,4,7,0.00025,1,10,66,2.591775083763013,0.0745
1,4,7,0.00025,1,10,67,2.799189234881428,0.2225
1,4,7,0.00025,1,10,68,2.2442086695729446,0.084
1,4,7,0.00025,1,10,69,2.955536190618484,0.0865
1,4,7,0.00025,1,10,70,3.2820537549930826,0.0915
1,4,7,0.00025,1,10,71,2.6648034147859163,0.064
1,4,7,0.00025,1,10,72,3.4703611332614575,0.1625
1,4,7,0.00025,1,10,73,3.026816849437615,0.1155
1,4,7,0.00025,1,10,74,2.702396779501279,0.056
1,4,7,0.00025,1,10,75,2.822445989168787,0.0625
1,4,7,0.00025,1,10,76,3.944241168143866,0.0945
1,4,7,0.00025,1,10,77,2.6708630973717398,0.064
1,4,7,0.00025,1,10,78,3.034824046732781,0.091
1,4,7,0.00025,1,10,79,3.010333737726276,0.1385
1,4,7,0.00025,1,10,80,3.1960127117324433,0.1675
1,4,7,0.00025,1,10,81,2.8941774531081683,0.097
1,4,7,0.00025,1,10,82,3.4698998577653257,0.1385
1,4,7,0.00025,1,10,83,3.158800356299235,0.213
1,4,7,0.00025,1,10,84,2.5444940845926545,0.062
1,4,7,0.00025,1,10,85,2.8796790314215848,0.231
1,4,7,0.00025,1,10,86,3.6082930971314893,0.0575
1,4,7,0.00025,1,10,87,3.1892309179814267,0.1365
1,4,7,0.00025,1,10,88,2.547086559832837,0.091
1,4,7,0.00025,1,10,89,2.7375886613717113,0.073
1,4,7,0.00025,1,10,90,2.9650097084245757,0.1535
1,4,7,0.00025,1,10,91,2.653553872504728,0.059
1,4,7,0.00025,1,10,92,2.749097271449117,0.142
1,4,7,0.00025,1,10,93,2.6537329679958015,0.1215
1,4,7,0.00025,1,10,94,2.577423889808618,0.0685
1,4,7,0.00025,1,10,95,2.7754484131470476,0.1595
1,4,7,0.00025,1,10,96,2.3539404635739927,0.1175
1,4,7,0.00025,1,10,97,3.0838360753255243,0.1765
1,4,7,0.00025,1,10,98,3.3342537695156946,0.1105
1,4,7,0.00025,1,10,99,3.464586156539866,0.0905
1,4,7,0.00025,1,20,0,1.9420731195142928,0.1045
1,4,7,0.00025,1,20,1,1.6582767928499431,0.0575
1,4,7,0.00025,1,20,2,1.8645829210690963,0.095
1,4,7,0.00025,1,20,3,2.0812451791269884,0.2495
1,4,7,0.00025,1,20,4,1.5368992594601154,0.149
1,4,7,0.00025,1,20,5,2.0634739773013178,0.119
1,4,7,0.00025,1,20,6,2.09517276114483,0.067
1,4,7,0.00025,1,20,7,1.8226139191959454,0.061
1,4,7,0.00025,1,20,8,1.5732011826132506,0.2325
1,4,7,0.00025,1,20,9,2.1847531521607317,0.2065
1,4,7,0.00025,1,20,10,2.5331551927937155,0.2095
1,4,7,0.00025,1,20,11,1.7649038836098754,0.1695
1,4,7,0.00025,1,20,12,1.96037579230089,0.254
1,4,7,0.00025,1,20,13,1.9380379362946656,0.1385
1,4,7,0.00025,1,20,14,1.741696374743343,0.0725
1,4,7,0.00025,1,20,15,1.9493505971687004,0.084
1,4,7,0.00025,1,20,16,1.8971932060309011,0.108
1,4,7,0.00025,1,20,17,1.9471370979789462,0.1555
1,4,7,0.00025,1,20,18,1.850475560431097,0.122
1,4,7,0.00025,1,20,19,2.278442238166392,0.1375
1,4,7,0.00025,1,20,20,1.6695239740802814,0.185
1,4,7,0.00025,1,20,21,1.6471175719655151,0.15
1,4,7,0.00025,1,20,22,1.964894138857702,0.084
1,4,7,0.00025,1,20,23,1.773976756128483,0.059
1,4,7,0.00025,1,20,24,1.4134980989774775,0.098
1,4,7,0.00025,1,20,25,2.1601112227557167,0.1745
1,4,7,0.00025,1,20,26,1.9967519707075572,0.092
1,4,7,0.00025,1,20,27,1.8041793197189213,0.073
1,4,7,0.00025,1,20,28,1.8892548937485887,0.1065
1,4,7,0.00025,1,20,29,1.9002473640781667,0.08
1,4,7,0.00025,1,20,30,2.1494728378888586,0.0645
1,4,7,0.00025,1,20,31,2.6379234684430286,0.0785
1,4,7,0.00025,1,20,32,1.8074576286152615,0.093
1,4,7,0.00025,1,20,33,1.7530239837782355,0.1275
1,4,7,0.00025,1,20,34,1.3239235385747,0.0985
1,4,7,0.00025,1,20,35,2.215960744076196,0.203
1,4,7,0.00025,1,20,36,2.1752620696443254,0.0825
1,4,7,0.00025,1,20,37,1.6480272523368649,0.0885
1,4,7,0.00025,1,20,38,1.5229674765275423,0.067
1,4,7,0.00025,1,20,39,2.375705919406729,0.0745
1,4,7,0.00025,1,20,40,2.02656279453909,0.0715
1,4,7,0.00025,1,20,41,2.2357992192561187,0.062
1,4,7,0.00025,1,20,42,1.6195486387816025,0.068
1,4,7,0.00025,1,20,43,1.987388350760697,0.189
1,4,7,0.00025,1,20,44,1.9732847269907945,0.06
1,4,7,0.00025,1,20,45,1.2851498682790865,0.1045
1,4,7,0.00025,1,20,46,2.1008118786392513,0.055
1,4,7,0.00025,1,20,47,1.5466994016956106,0.095
1,4,7,0.00025,1,20,48,1.9910781282816201,0.231
1,4,7,0.00025,1,20,49,2.6070204832125303,0.202
1,4,7,0.00025,1,20,50,2.192697281312997,0.202
1,4,7,0.00025,1,20,51,2.0803406927833823,0.103
1,4,7,0.00025,1,20,52,2.4901164675768412,0.0945
1,4,7,0.00025,1,20,53,1.689631944295427,0.101
1,4,7,0.00025,1,20,54,2.0730058126784647,0.1405
1,4,7,0.00025,1,20,55,1.7339807930030526,0.1635
1,4,7,0.00025,1,20,56,1.5917500523588333,0.148
1,4,7,0.00025,1,20,57,2.139682265724475,0.0685
1,4,7,0.00025,1,20,58,1.9042423057283138,0.213
1,4,7,0.00025,1,20,59,1.6336693731214402,0.104
1,4,7,0.00025,1,20,60,2.206228210692706,0.0715
1,4,7,0.00025,1,20,61,1.6321948594396987,0.1675
1,4,7,0.00025,1,20,62,1.324043233463596,0.0715
1,4,7,0.00025,1,20,63,1.8024921522552348,0.06
1,4,7,0.00025,1,20,64,2.265133578748996,0.0665
1,4,7,0.00025,1,20,65,1.5238816009020095,0.069
1,4,7,0.00025,1,20,66,1.6228444370009498,0.0745
1,4,7,0.00025,1,20,67,1.5721989751189456,0.2225
1,4,7,0.00025,1,20,68,1.9346928178501226,0.084
1,4,7,0.00025,1,20,69,1.5520672038946164,0.0865
1,4,7,0.00025,1,20,70,1.7993780730414413,0.0915
1,4,7,0.00025,1,20,71,2.1883375374204403,0.064
1,4,7,0.00025,1,20,72,1.6012395854147683,0.1625
1,4,7,0.00025,1,20,73,2.0410982755071987,0.1155
1,4,7,0.00025,1,20,74,1.9028842250586548,0.056
1,4,7,0.00025,1,20,75,1.9727919951477664,0.0625
1,4,7,0.00025,1,20,76,1.7520144204085784,0.0945
1,4,7,0.00025,1,20,77,1.6990139700393607,0.064
1,4,7,0.00025,1,20,78,1.7248999684609936,0.091
1,4,7,0.00025,1,20,79,1.8590791684915473,0.1385
1,4,7,0.00025,1,20,80,1.3914158175026805,0.1675
1,4,7,0.00025,1,20,81,1.748004979092723,0.097
1,4,7,0.00025,1,20,82,1.667445721348787,0.1385
1,4,7,0.00025,1,20,83,1.7665254043179117,0.213
1,4,7,0.00025,1,20,84,1.7468827051349827,0.062
1,4,7,0.00025,1,20,85,1.8368887569313301,0.231
1,4,7,0.00025,1,20,86,1.6919281137757995,0.0575
1,4,7,0.00025,1,20,87,1.309375669848508,0.1365
1,4,7,0.00025,1,20,88,1.7417499486322756,0.091
1,4,7,0.00025,1,20,89,2.0646716697168794,0.073
1,4,7,0.00025,1,20,90,1.7076008217299479,0.1535
1,4,7,0.00025,1,20,91,2.3574076842456795,0.059
1,4,7,0.00025,1,20,92,2.0099492969501966,0.142
1,4,7,0.00025,1,20,93,1.9203531340066395,0.1215
1,4,7,0.00025,1,20,94,1.96765775671401,0.0685
1,4,7,0.00025,1,20,95,1.8257626343652604,0.1595
1,4,7,0.00025,1,20,96,1.64118186989517,0.1175
1,4,7,0.00025,1,20,97,1.6006656713223597,0.1765
1,4,7,0.00025,1,20,98,1.6108277522377208,0.1105
1,4,7,0.00025,1,20,99,1.850916907483644,0.0905
1,4,7,0.00025,5,5,0,3.7623477071021902,0.504
1,4,7,0.00025,5,5,1,2.9637993750881346,0.4165
1,4,7,0.00025,5,5,2,3.4189665848342035,0.334
1,4,7,0.00025,5,5,3,2.7009889625942582,0.453
1,4,7,0.00025,5,5,4,4.340703400591848,0.428
1,4,7,0.00025,5,5,5,3.673804235583292,0.386
1,4,7,0.00025,5,5,6,4.723326546642053,0.4195
1,4,7,0.00025,5,5,7,5.163063505511487,0.4745
1,4,7,0.00025,5,5,8,4.215468479116302,0.3665
1,4,7,0.00025,5,5,9,3.836080432432331,0.4345
1,4,7,0.00025,5,5,10,3.870702731233831,0.4275
1,4,7,0.00025,5,5,11,3.896311877523083,0.564
1,4,7,0.00025,5,5,12,5.206015088828372,0.4855
1,4,7,0.00025,5,5,13,4.070871400971899,0.427
1,4,7,0.00025,5,5,14,4.218619290236826,0.414
1,4,7,0.00025,5,5,15,3.831239977859615,0.3155
1,4,7,0.00025,5,5,16,4.752549429939813,0.434
1,4,7,0.00025,5,5,17,4.507727349005081,0.46
1,4,7,0.00025,5,5,18,3.07055733507403,0.37
1,4,7,0.00025,5,5,19,4.025115879997571,0.331
1,4,7,0.00025,5,5,20,3.1228623477820134,0.467
1,4,7,0.00025,5,5,21,4.263170788094108,0.507
1,4,7,0.00025,5,5,22,4.6163064279627815,0.4105
1,4,7,0.00025,5,5,23,4.4847059980126645,0.3425
1,4,7,0.00025,5,5,24,4.1271409287516265,0.395
1,4,7,0.00025,5,5,25,4.426035893051811,0.5155
1,4,7,0.00025,5,5,26,4.335347400477475,0.498
1,4,7,0.00025,5,5,27,3.6042520203298283,0.4075
1,4,7,0.00025,5,5,28,4.108212204945907,0.363
1,4,7,0.00025,5,5,29,4.805215500752685,0.3665
1,4,7,0.00025,5,5,30,4.073248930641878,0.377
1,4,7,0.00025,5,5,31,4.331035471388514,0.3825
1,4,7,0.00025,5,5,32,4.852336489968741,0.406
1,4,7,0.00025,5,5,33,3.8204230893048146,0.398
1,4,7,0.00025,5,5,34,3.2001888454582366,0.4565
1,4,7,0.00025,5,5,35,3.9650105593288525,0.469
1,4,7,0.00025,5,5,36,3.464807495772992,0.452
1,4,7,0.00025,5,5,37,3.7408890705944065,0.4325
1,4,7,0.00025,5,5,38,3.5294659069141923,0.3145
1,4,7,0.00025,5,5,39,4.650688075236805,0.4125
1,4,7,0.00025,5,5,40,3.2715492679511553,0.42
1,4,7,0.00025,5,5,41,4.351408364102635,0.373
1,4,7,0.00025,5,5,42,3.2115147519170053,0.39
1,4,7,0.00025,5,5,43,3.2071680407056236,0.3805
1,4,7,0.00025,5,5,44,3.528553563466886,0.3665
1,4,7,0.00025,5,5,45,3.857471358470936,0.5085
1,4,7,0.00025,5,5,46,4.187759022235144,0.4065
1,4,7,0.00025,5,5,47,3.731788414497592,0.3615
1,4,7,0.00025,5,5,48,4.45326523462339,0.386
1,4,7,0.00025,5,5,49,3.940114552348851,0.43
1,4,7,0.00025,5,5,50,4.075043567992466,0.4645
1,4,7,0.00025,5,5,51,3.256537798262187,0.4385
1,4,7,0.00025,5,5,52,3.5180799316954374,0.5955
1,4,7,0.00025,5,5,53,3.4048377640618837,0.294
1,4,7,0.00025,5,5,54,5.218272650607239,0.496
1,4,7,0.00025,5,5,55,4.001211924787333,0.322
1,4,7,0.00025,5,5,56,4.175369822799902,0.5835
1,4,7,0.00025,5,5,57,4.30612375723316,0.3375
1,4,7,0.00025,5,5,58,3.774366523314075,0.432
1,4,7,0.00025,5,5,59,4.098218870565488,0.526
1,4,7,0.00025,5,5,60,3.7653994737447958,0.4975
1,4,7,0.00025,5,5,61,3.73751920668014,0.361
1,4,7,0.00025,5,5,62,3.714498781123417,0.373
1,4,7,0.00025,5,5,63,4.581461203498961,0.527
1,4,7,0.00025,5,5,64,4.926665631049155,0.4155
1,4,7,0.00025,5,5,65,4.377979078804314,0.388
1,4,7,0.00025,5,5,66,3.291781457029561,0.398
1,4,7,0.00025,5,5,67,3.0612127434163936,0.412
1,4,7,0.00025,5,5,68,3.5314965422325297,0.446
1,4,7,0.00025,5,5,69,3.6259020579411954,0.5125
1,4,7,0.00025,5,5,70,3.7436073856634637,0.4775
1,4,7,0.00025,5,5,71,3.962014611756226,0.473
1,4,7,0.00025,5,5,72,3.8993186145303818,0.4335
1,4,7,0.00025,5,5,73,3.760482745214775,0.5005
1,4,7,0.00025,5,5,74,3.410780984366504,0.476
